"","st","year","unemployment"
"607","WY","2008","3.06666666666667"
"608","WY","2013","4.71666666666667"
"609","WY","2014","4.13333333333333"
"610","WY","2009","6.33333333333333"
"611","WY","2017","4.19166666666667"
"612","CO","2014","5"
"613","CO","2010","8.725"
"614","CO","2005","5.025"
"615","CO","2016","3.275"
"616","CO","2015","3.875"
"617","CO","2006","4.30833333333333"
"618","CO","2013","6.85"
"619","CO","2011","8.35833333333333"
"620","CO","2017","2.80833333333333"
"621","CO","2009","7.3"
"622","CO","2007","3.725"
"623","CO","2008","4.85"
"624","CO","2012","7.89166666666667"
"625","CT","2015","5.73333333333333"
"626","CT","2010","9.13333333333333"
"627","CT","2007","4.475"
"628","CT","2014","6.61666666666667"
"629","CT","2012","8.35"
"630","CT","2016","5.16666666666667"
"631","CT","2006","4.33333333333333"
"632","CT","2005","4.875"
"633","CT","2011","8.825"
"634","CT","2013","7.80833333333333"
"635","CT","2009","7.925"
"636","CT","2017","4.66666666666667"
"637","CT","2008","5.66666666666667"
"638","DC","2015","6.875"
"639","DC","2010","9.40833333333333"
"640","DC","2007","5.53333333333333"
"641","DC","2009","9.275"
"642","DC","2012","9.04166666666667"
"643","DC","2014","7.76666666666667"
"644","DC","2006","5.79166666666667"
"645","DC","2005","6.38333333333333"
"646","DC","2016","6.10833333333333"
"647","DC","2017","6.06666666666667"
"648","DC","2011","10.1583333333333"
"649","DC","2013","8.49166666666667"
"650","DC","2008","6.44166666666667"
"651","DE","2016","4.525"
"652","DE","2012","7.20833333333333"
"653","DE","2011","7.5"
"654","DE","2010","8.41666666666667"
"655","DE","2006","3.59166666666667"
"656","DE","2009","8.25833333333333"
"657","DE","2007","3.44166666666667"
"658","DE","2005","4.14166666666667"
"659","DE","2008","4.96666666666667"
"660","DE","2013","6.69166666666667"
"661","DE","2014","5.71666666666667"
"662","DE","2015","4.85"
"663","DE","2017","4.56666666666667"
